Price,Close,High,Low,Open,Volume
Ticker,BTC=F,BTC=F,BTC=F,BTC=F,BTC=F
Date,,,,,
2022-07-26,20915.0,22045.0,20715.0,22045.0,11713
2022-07-27,22780.0,23120.0,21000.0,21015.0,13017
2022-07-28,23805.0,24230.0,22620.0,22785.0,11797
2022-07-29,24082.44921875,24490.0,23460.0,23950.0,7464
2022-08-01,23030.0,23685.0,22895.0,23655.0,5781
2022-08-02,23000.0,23510.0,22685.0,23050.0,5487
2022-08-03,23540.0,23705.0,22730.0,23175.0,6020
2022-08-04,22455.0,23370.0,22405.0,23370.0,7914
2022-08-05,22960.0,23555.0,22475.0,22505.0,8818
2022-08-08,23985.0,24355.0,23085.0,23310.0,7581
2022-08-09,23060.0,23965.0,22850.0,23880.0,8218
2022-08-10,23655.0,24240.0,22630.0,23200.0,9528
2022-08-11,24245.0,24980.0,23840.0,24000.0,9242
2022-08-12,24240.0,24315.0,23600.0,24225.0,4938
2022-08-15,24000.0,25270.0,23890.0,24360.0,7443
2022-08-16,23945.0,24265.0,23640.0,24060.0,5100
2022-08-17,23230.0,24465.0,23145.0,23960.0,8565
2022-08-18,23335.0,23590.0,23210.0,23260.0,3984
2022-08-19,21230.0,23370.0,21035.0,23330.0,11296
2022-08-22,20965.0,21595.0,20805.0,21420.0,7314
2022-08-23,21490.0,21660.0,20790.0,21055.0,8565
2022-08-24,21710.0,21900.0,21125.0,21480.0,9887
2022-08-25,21565.0,21810.0,21290.0,21610.0,7808
2022-08-26,21417.890625,21865.0,21035.0,21425.0,13737
2022-08-29,19965.0,20315.0,19345.0,19890.0,7992
2022-08-30,19770.0,20630.0,19345.0,19985.0,7230
2022-08-31,20065.0,20400.0,19585.0,19745.0,7256
2022-09-01,19695.0,20145.0,19310.0,20130.0,7103
2022-09-02,19775.0,20390.0,19555.0,19975.0,9765
2022-09-06,18635.0,20080.0,18480.0,19745.0,15290
2022-09-07,18925.0,19365.0,18360.0,18780.0,6749
2022-09-08,19260.0,19400.0,18905.0,19170.0,7811
2022-09-09,21345.0,21485.0,19010.0,19010.0,16199
2022-09-12,22455.0,22530.0,21500.0,21500.0,8764
2022-09-13,20240.0,22875.0,20050.0,22390.0,15358
2022-09-14,19925.0,20500.0,19585.0,20110.0,7625
2022-09-15,19730.0,20345.0,19450.0,20130.0,7042
2022-09-16,19575.0,19865.0,19275.0,19750.0,6561
2022-09-19,19480.0,19620.0,18195.0,19490.0,12241
2022-09-20,18950.0,19640.0,18690.0,19525.0,8868
2022-09-21,18980.0,19885.0,18670.0,18880.0,15361
2022-09-22,19295.0,19475.0,18085.0,18510.0,9042
2022-09-23,18745.0,19495.0,18455.0,19200.0,9164
2022-09-26,19180.0,19300.0,18545.0,18700.0,11533
2022-09-27,19045.0,20400.0,18775.0,19060.0,18567
2022-09-28,19565.0,19685.0,18440.0,18975.0,14508
2022-09-29,19405.0,19700.0,18820.0,19630.0,10690
2022-09-30,19698.599609375,19725.0,19185.0,19510.0,12261
2022-10-03,19525.0,19690.0,18785.0,19190.0,12200
2022-10-04,20285.0,20535.0,19515.0,19535.0,11729
2022-10-05,20140.0,20440.0,19740.0,20385.0,9665
2022-10-06,20025.0,20515.0,19870.0,20085.0,9200
2022-10-07,19410.0,20080.0,19260.0,19870.0,11120
2022-10-10,19125.0,19465.0,19015.0,19390.0,7446
2022-10-11,18900.0,19225.0,18760.0,19165.0,9226
2022-10-12,19095.0,19145.0,18900.0,18935.0,5182
2022-10-13,19360.0,19575.0,17810.0,19150.0,23505
2022-10-14,19110.0,19975.0,19065.0,19415.0,14027
2022-10-17,19515.0,19680.0,19070.0,19070.0,7538
2022-10-18,19180.0,19715.0,19045.0,19525.0,8664
2022-10-19,19200.0,19340.0,19035.0,19255.0,5612
2022-10-20,19030.0,19340.0,18875.0,19150.0,9380
2022-10-21,19195.0,19250.0,18615.0,19050.0,10597
2022-10-24,19340.0,19695.0,19130.0,19470.0,11740
2022-10-25,20305.0,20445.0,19230.0,19310.0,18642
2022-10-26,20780.0,21055.0,20015.0,20215.0,16618
2022-10-27,20625.0,20935.0,20245.0,20735.0,10277
2022-10-28,20478.439453125,20560.0,19965.0,20385.0,8559
2022-10-31,20380.0,20890.0,20220.0,20715.0,7208
2022-11-01,20480.0,20725.0,20320.0,20430.0,4663
2022-11-02,20265.0,20870.0,20105.0,20500.0,9266
2022-11-03,20285.0,20415.0,20030.0,20165.0,7002
2022-11-04,21155.0,21400.0,20185.0,20280.0,16426
2022-11-07,20845.0,21215.0,20635.0,21200.0,6250
2022-11-08,18080.0,20700.0,16835.0,20500.0,44896
2022-11-09,15615.0,18565.0,14925.0,18480.0,29101
2022-11-10,17780.0,17935.0,15230.0,15440.0,18015
2022-11-11,16050.0,17480.0,15715.0,17460.0,12252
2022-11-14,16005.0,16740.0,15250.0,15870.0,7191
2022-11-15,16690.0,16990.0,16085.0,16085.0,7408
2022-11-16,16285.0,16855.0,16015.0,16715.0,7008
2022-11-17,16520.0,16610.0,16115.0,16370.0,5977
2022-11-18,16530.0,16880.0,16365.0,16545.0,6052
2022-11-21,15690.0,16265.0,15355.0,16155.0,12988
2022-11-22,16055.0,16295.0,15515.0,15645.0,12763
2022-11-23,16610.0,16705.0,16080.0,16115.0,9969
2022-11-25,16512.2890625,16805.0,16340.0,16470.0,3599
2022-11-28,15990.0,16375.0,15630.0,16335.0,6804
2022-11-29,16265.0,16410.0,15880.0,15920.0,4649
2022-11-30,17080.0,17140.0,16160.0,16235.0,8018
2022-12-01,16820.0,17235.0,16760.0,17190.0,6039
2022-12-02,16995.0,17055.0,16055.0,16870.0,3869
2022-12-05,16825.0,17435.0,16750.0,17020.0,6335
2022-12-06,16945.0,17025.0,16800.0,16865.0,3720
2022-12-07,16725.0,17090.0,16580.0,16935.0,3966
2022-12-08,17185.0,17320.0,16665.0,16760.0,7120
2022-12-09,17035.0,17355.0,17005.0,17240.0,4444
2022-12-12,17115.0,17220.0,16820.0,17080.0,4191
2022-12-13,17745.0,18125.0,17050.0,17170.0,9178
2022-12-14,17795.0,18420.0,17680.0,17775.0,7805
2022-12-15,17395.0,17875.0,17290.0,17840.0,5851
2022-12-16,16775.0,17525.0,16675.0,17340.0,7266
2022-12-19,16495.0,16770.0,16395.0,16690.0,4393
2022-12-20,16840.0,17095.0,16275.0,16325.0,5601
2022-12-21,16735.0,16885.0,16670.0,16870.0,2295
2022-12-22,16735.0,16850.0,16460.0,16725.0,5529
2022-12-23,16780.0,16910.0,16695.0,16760.0,5712
2022-12-27,16595.0,16950.0,16515.0,16825.0,7685
2022-12-28,16570.0,16760.0,16420.0,16640.0,9933
2022-12-29,16585.0,16640.0,16435.0,16510.0,6599
2022-12-30,16498.080078125,16625.0,16285.0,16615.0,6062
2023-01-03,16615.0,16765.0,16525.0,16675.0,4086
2023-01-04,16780.0,17015.0,16610.0,16625.0,7387
2023-01-05,16840.0,16890.0,16715.0,16810.0,3408
2023-01-06,16895.0,17085.0,16645.0,16825.0,6144
2023-01-09,17225.0,17440.0,16955.0,16980.0,7471
2023-01-10,17535.0,17555.0,17135.0,17180.0,5068
2023-01-11,17615.0,17635.0,17330.0,17490.0,4674
2023-01-12,19155.0,19200.0,17615.0,17625.0,14036
2023-01-13,19550.0,19995.0,18785.0,18945.0,7033
2023-01-17,21485.0,21725.0,20690.0,20985.0,12709
2023-01-18,20800.0,21795.0,20460.0,21325.0,13106
2023-01-19,21200.0,21275.0,20730.0,20905.0,5319
2023-01-20,22390.0,22525.0,20935.0,21155.0,9472
2023-01-23,23090.0,23240.0,22585.0,22605.0,10731
2023-01-24,23065.0,23210.0,22775.0,22990.0,7975
2023-01-25,22940.0,23770.0,22345.0,22770.0,10974
